CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-01 00:00,m^3/s,435,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-02 00:00,m^3/s,373,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-03 00:00,m^3/s,317,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-04 00:00,m^3/s,364,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-05 00:00,m^3/s,421,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-06 00:00,m^3/s,492,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-07 00:00,m^3/s,541,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-08 00:00,m^3/s,703,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-09 00:00,m^3/s,679,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-10 00:00,m^3/s,547,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-11 00:00,m^3/s,441,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-12 00:00,m^3/s,420,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-13 00:00,m^3/s,645,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-14 00:00,m^3/s,742,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-15 00:00,m^3/s,704,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-16 00:00,m^3/s,592,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-17 00:00,m^3/s,500,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-18 00:00,m^3/s,580,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-19 00:00,m^3/s,657,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-20 00:00,m^3/s,566,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-21 00:00,m^3/s,531,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-22 00:00,m^3/s,516,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-23 00:00,m^3/s,572,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-24 00:00,m^3/s,580,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-25 00:00,m^3/s,793,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-26 00:00,m^3/s,875,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-27 00:00,m^3/s,902,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-28 00:00,m^3/s,845,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-29 00:00,m^3/s,744,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-04-30 00:00,m^3/s,788,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-01 00:00,m^3/s,847,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-02 00:00,m^3/s,1048,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-03 00:00,m^3/s,999,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-04 00:00,m^3/s,1047,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-05 00:00,m^3/s,1244,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-06 00:00,m^3/s,1374,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-07 00:00,m^3/s,1643,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-08 00:00,m^3/s,1694,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-09 00:00,m^3/s,1830,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-10 00:00,m^3/s,1853,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-11 00:00,m^3/s,1901,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-12 00:00,m^3/s,2003,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-13 00:00,m^3/s,2097,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-14 00:00,m^3/s,2075,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-15 00:00,m^3/s,2048,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-16 00:00,m^3/s,2195,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-17 00:00,m^3/s,2179,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-18 00:00,m^3/s,2108,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-19 00:00,m^3/s,2011,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-20 00:00,m^3/s,1979,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-21 00:00,m^3/s,2021,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-22 00:00,m^3/s,1953,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-23 00:00,m^3/s,1989,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-24 00:00,m^3/s,2086,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-25 00:00,m^3/s,2173,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-26 00:00,m^3/s,2179,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-27 00:00,m^3/s,2212,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-28 00:00,m^3/s,2034,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-29 00:00,m^3/s,1953,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-30 00:00,m^3/s,1943,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-05-31 00:00,m^3/s,2035,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-01 00:00,m^3/s,2100,Definitivo
